Date,Close
11-May-18,47.15
14-May-18,47.04
15-May-18,46.61
16-May-18,47.05
17-May-18,46.75
18-May-18,46.58
21-May-18,46.91
22-May-18,46.79
23-May-18,47.09
24-May-18,47.04
25-May-18,47.15
29-May-18,46.98
30-May-18,46.88
31-May-18,46.72
1-Jun-18,47.56
4-Jun-18,47.96
5-Jun-18,48.33
6-Jun-18,48.5
7-Jun-18,48.37
8-Jun-18,47.93
11-Jun-18,47.81
12-Jun-18,48.07
13-Jun-18,47.68
14-Jun-18,47.7
15-Jun-18,47.21
18-Jun-18,47.19
19-Jun-18,46.42
20-Jun-18,46.63
21-Jun-18,46.37
22-Jun-18,46.23
25-Jun-18,45.54
26-Jun-18,46.11
27-Jun-18,46.04
28-Jun-18,46.38
29-Jun-18,46.28
2-Jul-18,46.8
3-Jul-18,45.98
5-Jul-18,46.35
6-Jul-18,46.99
9-Jul-18,47.65
10-Jul-18,47.59
11-Jul-18,46.97
12-Jul-18,47.76
13-Jul-18,47.83
16-Jul-18,47.73
17-Jul-18,47.86
18-Jul-18,47.6
19-Jul-18,47.97
20-Jul-18,47.86
23-Jul-18,47.86
24-Jul-18,48.25
25-Jul-18,48.71
26-Jul-18,48.55
27-Jul-18,47.75
30-Jul-18,47.48
31-Jul-18,47.57
1-Aug-18,50.38
2-Aug-18,51.85
3-Aug-18,52
6-Aug-18,52.27
7-Aug-18,51.78
8-Aug-18,51.81
9-Aug-18,52.22
10-Aug-18,51.88
13-Aug-18,52.22
14-Aug-18,52.44
15-Aug-18,52.56
16-Aug-18,53.33
17-Aug-18,54.4
20-Aug-18,53.87
21-Aug-18,53.76
22-Aug-18,53.76
23-Aug-18,53.87
24-Aug-18,54.04
27-Aug-18,54.49
28-Aug-18,54.93
29-Aug-18,55.75
30-Aug-18,56.26
31-Aug-18,56.91
4-Sep-18,57.09
5-Sep-18,56.72
6-Sep-18,55.78
7-Sep-18,55.33
10-Sep-18,54.58
11-Sep-18,55.96
12-Sep-18,55.27
13-Sep-18,56.6
14-Sep-18,55.96
17-Sep-18,54.47
18-Sep-18,54.56
19-Sep-18,54.59
20-Sep-18,55.01
21-Sep-18,54.42
24-Sep-18,55.2
25-Sep-18,55.55
26-Sep-18,55.11
27-Sep-18,56.24
28-Sep-18,56.44
1-Oct-18,56.82
2-Oct-18,57.32
3-Oct-18,58.02
4-Oct-18,57
5-Oct-18,56.07
8-Oct-18,55.94
9-Oct-18,56.72
10-Oct-18,54.09
11-Oct-18,53.61
12-Oct-18,55.53
15-Oct-18,54.34
16-Oct-18,55.54
17-Oct-18,55.3
18-Oct-18,54.01
19-Oct-18,54.83
22-Oct-18,55.16
23-Oct-18,55.68
24-Oct-18,53.77
25-Oct-18,54.95
26-Oct-18,54.08
29-Oct-18,53.06
30-Oct-18,53.33
31-Oct-18,54.72
1-Nov-18,55.56
2-Nov-18,51.87
5-Nov-18,50.4
6-Nov-18,50.94
7-Nov-18,52.49
8-Nov-18,52.12
9-Nov-18,51.12
12-Nov-18,48.54
13-Nov-18,48.06
14-Nov-18,46.7
15-Nov-18,47.85
16-Nov-18,48.38
19-Nov-18,46.47
20-Nov-18,44.25
21-Nov-18,44.2
23-Nov-18,43.07
26-Nov-18,43.66
27-Nov-18,43.56
28-Nov-18,45.24
29-Nov-18,44.89
30-Nov-18,44.65
3-Dec-18,46.21
4-Dec-18,44.17
6-Dec-18,43.68
7-Dec-18,42.12
10-Dec-18,42.4
11-Dec-18,42.16
12-Dec-18,42.28
13-Dec-18,42.74
14-Dec-18,41.37
17-Dec-18,40.99
